source,target,tgt_lng
アベムジカ,Ave Mujica,en
Togawa Sakiko,丰川 祥子,zh-CN
とがわさきこ,丰川 祥子,zh-CN
Misumi Hatsune,三角 初音,zh-CN
Misumi Uika,三角 初华,zh-CN
みすみ ういか,三角 初华,zh-CN
みすみ はつね,三角 初音,zh-CN
Wakaba Mutsumi,若叶睦,zh-CN
わかば むつみ,若叶睦,zh-CN
Yahata Umiri,八幡 海铃,zh-CN
やはた うみり,八幡 海铃,zh-CN
ゆうてんじ にゃむ,祐天寺 若麦,zh-CN
Yūtenji Nyamu,祐天寺 若麦,zh-CN
オブリビオニス,Oblivionis,en
ドロリス,Doloris,en
モーティス,Mortis,en
ティモリス,Timoris,en
アモーリス,Amoris,en
さきちゃん,小祥,zh-CN
saki chan,小祥,zh-CN
さき,祥,zh-CN
saki,祥,zh-CN
さきこ,祥子,zh-CN
sakiko,祥子,zh-CN
さきこちゃん,小祥子,zh-CN
sakkiko chan,小祥子,zh-CN
むつみ,睦,zh-CN
むーこ,睦子,zh-CN
muuko,睦子,zh-CN
ういか,初華,zh-CN
uika,初華,zh-CN
はつね,初音,zh-CN
hatsune,初音,zh-CN
ういこ,初華,zh-CN
uiko,初子,zh-CN
うみり,海鈴,zh-CN
umiri,海鈴,zh-CN
うみこ,海子,zh-CN
umiko,海子,zh-CN
にゃむ,喵梦,zh-CN
nyamu,喵梦,zh-CN
にゃむこ,若麦子,zh-CN
nyamuko,若麦子,zh-CN
にゃむち,喵梦亲,zh-CN
nyamuchi,喵梦亲
